iter	Passed	Remaining
0	1	187
1	3	180
2	6	194
3	7	181
4	9	181
5	11	179
6	13	181
7	15	176
8	17	173
9	19	171
10	20	168
11	23	169
12	25	167
13	37	227
14	39	224
15	41	219
16	43	214
17	46	209
18	47	204
19	49	199
20	51	194
21	54	192
22	56	189
23	58	185
24	60	182
25	62	179
26	66	179
27	69	179
28	72	177
29	73	172
30	75	168
31	77	163
32	79	161
33	81	158
34	84	156
35	86	153
36	88	151
37	91	148
38	93	145
39	95	143
40	98	141
41	98	136
42	101	134
43	104	133
44	106	130
45	108	127
46	109	123
47	112	121
48	113	118
49	114	114
50	116	111
51	117	108
52	119	105
53	120	103
54	121	99
55	123	97
56	125	94
57	126	91
58	128	89
59	130	86
60	132	84
61	134	82
62	136	80
63	145	82
64	147	79
65	149	76
66	151	74
67	152	71
68	157	70
69	158	68
70	161	65
71	162	63
72	164	60
73	165	58
74	167	55
75	172	54
76	174	52
77	176	49
78	177	47
79	179	44
80	180	42
81	182	40
82	184	37
83	186	35
84	188	33
85	190	30
86	191	28
87	193	26
88	194	24
89	196	21
90	225	22
91	227	19
92	231	17
93	234	14
94	236	12
95	237	9
96	239	7
97	241	4
98	243	2
99	245	0
