iter	Passed	Remaining
0	1	172
1	3	147
2	4	138
3	5	126
4	6	125
5	7	121
6	9	120
7	10	119
8	11	117
9	12	116
10	14	114
11	15	112
12	16	111
13	17	110
14	19	108
15	20	106
16	21	105
17	22	103
18	24	102
19	25	101
20	26	99
21	27	98
22	28	96
23	30	95
24	31	94
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	38	86
31	40	85
32	41	84
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	53	70
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	61
51	64	59
52	66	58
53	67	57
54	68	55
55	69	54
56	70	53
57	72	52
58	73	50
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	81	43
65	82	42
66	83	41
67	85	40
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	103	22
82	104	21
83	105	20
84	107	18
85	108	17
86	109	16
87	111	15
88	112	13
89	113	12
90	114	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
